 Province, Education Index, Income Index,Health Index,Literacy Percentage,Urban population Percentage,Student Teacher Ratio
 Beijing,0.854,0.806,0.952,98.28,86.5,8.62
Tianjin,0.791,0.814,0.932,97.91,82.64,9.92
 Hebei,0.677,0.675,0.87,96.14,51.33,13.58
Shanxi,0.704,0.656,0.869,97.02,55.03,9.96
Inner Mongolia,0.689,0.758,0.861,94.53,60.3,10.82
Liaoning,0.764,0.745,0.892,98.09,67.35,10.25
Jilin,0.721,0.708,0.889,97.39,55.31,9.2
Heilongjiang,0.723,0.672,0.886,97.26,58.8,9.59
Shanghai,0.807,0.803,0.953,96.88,87.6,10.98
Jiangsu,0.73,0.778,0.896,94.6,66.52,10.77
Zhejiang,0.732,0.761,0.913,94.13,65.8,12.3
Anhui,0.656,0.654,0.871,93.49,50.5,12.6
Fujian,0.666,0.741,0.882,93.35,62.6,11.57
Jiangxi,0.681,0.655,0.86,95.32,51.62,14.61
Shandong,0.693,0.735,0.893,93.35,57.01,11.74
Henan,0.671,0.664,0.864,94.75,46.85,14.16
Hubei,0.706,0.699,0.868,94.04,56.85,10.4
Hunan,0.679,0.676,0.866,96.63,50.89,13.22
Guangdong,0.694,0.741,0.894,97.1,68.71,12.88
Guangxi,0.641,0.648,0.872,95.34,47.06,16.5
Hainan,0.671,0.671,0.891,94.69,55.12,12.79
Chongqing,0.676,0.701,0.881,94.41,60.94,12.71
Sichuan,0.656,0.657,0.866,91.86,47.69,12.39
Guizhou,0.613,0.616,0.809,86.99,42.01,16.01
Yunan,0.613,0.62,0.784,90.47,43.33,15.29
Tibet,0.451,0.63,0.762,62.67,27.74,12.1
Shaanxi,0.7,0.698,0.865,95.13,53.92,10.23
Gansu,0.642,0.616,0.826,88.69,43.19,10.84
Qinghai,0.627,0.674,0.791,83.37,50.3,13.21
Ningxia,0.668,0.682,0.845,90.83,55.23,14.16
Xinjiang,0.66,0.677,0.828,95.54,47.23,10.58
Aguascalientes,0.641,0.802,0.853,97,81,14.51
Baja California,0.641,0.834,0.821,97.6,92,14.39
Baja California Sur,0.647,0.844,0.857,96.8,86,14.87
Campeche,0.617,0.806,0.844,92.9,75,14.62
Coahuila de Zaragoza,0.652,0.823,0.845,97.1,90,14.16
Colima,0.636,0.819,0.854,95.6,89,11.43
Chiapas,0.528,0.7,0.805,84.2,49,20.59
Chihuahua,0.62,0.82,0.779,95,85,18.12
Ciudad de México,0.783,0.852,0.857,97.7,99.5,14.33
Durango,0.613,0.762,0.836,96.2,69,13.76
Guanajuato,0.563,0.783,0.845,93,70,19.51
Guerrero,0.549,0.711,0.804,85.5,58,16.72
Hidalgo,0.602,0.757,0.829,91,52,17.34
Jalisco,0.622,0.807,0.846,95.8,87,16.53
Estado deMéxico,0.619,0.793,0.842,95.8,87,20.16
Michoacán de Ocampo,0.543,0.76,0.832,90.8,69,16.1
Morelos,0.633,0.787,0.846,94.3,84,16.21
Nayarit,0.609,0.777,0.833,94.3,69,11.63
Nuevo León,0.674,0.862,0.847,97.4,95,17.32
Oaxaca,0.539,0.73,0.804,84.2,77,15.85
Puebla,0.599,0.737,0.835,90.8,72,19.54
Querétaro,0.636,0.818,0.845,94.7,70,21.35
Quintana Roo,0.621,0.812,0.849,95.5,88,15.7
San Luis Potosí,0.6,0.767,0.831,92.9,64,15.19
Sinaloa,0.649,0.805,0.832,95.2,73,12.3
Sonora,0.663,0.847,0.843,96.7,86,17.92
Tabasco,0.628,0.779,0.835,93.8,57,18.12
Tamaulipas,0.637,0.809,0.846,96,88,15.46
Tlaxcala,0.619,0.739,0.84,95.2,80,15.15
Veracruz de Ignacio de la Llave,0.577,0.764,0.824,89.8,61,17.17
Yucatán,0.608,0.784,0.848,91.9,84,12.82
Zacatecas,0.585,0.76,0.84,94.9,59,15.99
