Temperatura,Ciclo,Fijador,Calidad
75,40,1,23
75,40,1,24
75,40,1,25
75,40,2,27
75,40,2,28
75,40,2,26
75,40,3,31
75,40,3,32
75,40,3,29
90,40,1,24
90,40,1,23
90,40,1,28
90,40,2,38
90,40,2,36
90,40,2,35
90,40,3,34
90,40,3,36
90,40,3,39
75,50,1,36
75,50,1,35
75,50,1,36
75,50,2,34
75,50,2,38
75,50,2,39
75,50,3,33
75,50,3,34
75,50,3,35
90,50,1,37
90,50,1,39
90,50,1,35
90,50,2,34
90,50,2,38
90,50,2,36
90,50,3,34
90,50,3,36
90,50,3,31
75,60,1,28
75,60,1,24
75,60,1,27
75,60,2,35
75,60,2,35
75,60,2,34
75,60,3,26
75,60,3,27
75,60,3,25
90,60,1,26
90,60,1,29
90,60,1,25
90,60,2,36
90,60,2,37
90,60,2,34
90,60,3,28
90,60,3,26
90,60,3,24
