duracion,temperatura,operador,tenido
40,300,1,23
40,300,1,24
40,300,1,25
50,300,1,36
50,300,1,35
50,300,1,36
60,300,1,28
60,300,1,24
60,300,1,27
40,300,2,27
40,300,2,28
40,300,2,26
50,300,2,34
50,300,2,38
50,300,2,39
60,300,2,35
60,300,2,35
60,300,2,34
40,300,3,31
40,300,3,32
40,300,3,29
50,300,3,33
50,300,3,34
50,300,3,35
60,300,3,26
60,300,3,27
60,300,3,25
40,350,1,24
40,350,1,23
40,350,1,28
50,350,1,37
50,350,1,39
50,350,1,35
60,350,1,26
60,350,1,29
60,350,1,25
40,350,2,38
40,350,2,36
40,350,2,35
50,350,2,34
50,350,2,38
50,350,2,36
60,350,2,36
60,350,2,37
60,350,2,34
40,350,3,34
40,350,3,36
40,350,3,39
50,350,3,34
50,350,3,36
50,350,3,31
60,350,3,28
60,350,3,26
60,350,3,24
