Pelet,Temperatura,Salinidad,Tiempo
1,22,30,4.1
1,22,30,3.15
1,22,30,2.9
1,22,30,2.6
2,22,30,6
2,22,30,5.7
2,22,30,6.4
2,22,30,5
3,22,30,11
3,22,30,12
3,22,30,12.3
3,22,30,13
1,24,30,4
1,24,30,5
1,24,30,3.7
1,24,30,5.5
2,24,30,6
2,24,30,7
2,24,30,7.5
2,24,30,5.7
3,24,30,11.9
3,24,30,13
3,24,30,12.5
3,24,30,12.4
1,22,35,4
1,22,35,4.9
1,22,35,5.5
1,22,35,5
2,22,35,8
2,22,35,7
2,22,35,7.5
2,22,35,8.3
3,22,35,12
3,22,35,13
3,22,35,12.7
3,22,35,11.5
1,24,35,6.3
1,24,35,6
1,24,35,5.6
1,24,35,5.1
2,24,35,9
2,24,35,8
2,24,35,9.4
2,24,35,8.5
3,24,35,12.8
3,24,35,13
3,24,35,12.5
3,24,35,13.4
